SubjID,Run,Order,Onset,Duration,Condition,Flip,Sentence,AgentName,AgentShape,PatientName,PatientShape
reference,1,E,9.71400000002541,0.28,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,9.99400000002424,0.12,Agent,0,Kyle Square is bouncing Zach Star.,Kyle,Square,Zach,Star
reference,1,E,10.1200000000244,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,10.1600000000253,0.12,Patient,1,Kyle Square is being bounced by Melissa Oval.,Melissa,Oval,Kyle,Square
reference,1,E,10.2860000000255,0.12,Patient,0,Kyle Square is stopping Melissa Oval.,Kyle,Square,Melissa,Oval
reference,1,E,10.4120000000257,0.16,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,10.5720000000256,0.12,Patient,1,Kyle Square is being stopped by Zach Star.,Zach,Star,Kyle,Square
reference,1,E,10.6980000000258,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,10.7780000000275,0.12,Agent,0,Zach Star is shaking Kyle Square.,Zach,Star,Kyle,Square
reference,1,E,10.9040000000277,0.12,Agent,0,Lily Triangle is bouncing Kyle Square.,Lily,Triangle,Kyle,Square
reference,1,E,11.0300000000279,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,11.1500000000269,0.12,Agent,0,Zach Star is bouncing Kyle Square.,Zach,Star,Kyle,Square
reference,1,E,11.2760000000271,0.32,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,11.5960000000268,0.12,Patient,0,Kyle Square is bouncing Zach Star.,Kyle,Square,Zach,Star
reference,1,E,11.722000000027,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,11.842000000026,0.12,Agent,0,Zach Star is shaking Melissa Oval.,Zach,Star,Melissa,Oval
reference,1,E,11.9680000000262,0.36,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,12.3280000000268,0.12,Agent,0,Zach Star is balancing Melissa Oval.,Zach,Star,Melissa,Oval
reference,1,E,12.454000000027,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,12.5340000000288,0.12,Patient,0,Zach Star is shaking Kyle Square.,Zach,Star,Kyle,Square
reference,1,E,12.660000000029,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,12.7800000000279,0.12,Patient,0,Lily Triangle is bouncing Kyle Square.,Lily,Triangle,Kyle,Square
reference,1,E,12.9060000000281,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,13.0260000000271,0.12,Patient,0,Zach Star is bouncing Kyle Square.,Zach,Star,Kyle,Square
reference,1,E,13.1520000000273,0.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,13.3520000000281,0.12,Agent,0,Kyle Square is shaking Lily Triangle.,Kyle,Square,Lily,Triangle
reference,1,E,13.4780000000283,0.16,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,13.6380000000281,0.12,Patient,0,Zach Star is shaking Melissa Oval.,Zach,Star,Melissa,Oval
reference,1,E,13.7640000000283,0.24,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,14.0040000000299,0.12,Agent,1,Lily Triangle is being balanced by Melissa Oval.,Melissa,Oval,Lily,Triangle
reference,1,E,14.1300000000301,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,14.170000000031,0.12,Patient,0,Zach Star is balancing Melissa Oval.,Zach,Star,Melissa,Oval
reference,1,E,14.2960000000312,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,14.3360000000321,0.12,Patient,0,Kyle Square is shaking Lily Triangle.,Kyle,Square,Lily,Triangle
reference,1,E,14.4620000000323,0.12,Patient,1,Lily Triangle is being balanced by Melissa Oval.,Melissa,Oval,Lily,Triangle
reference,1,E,14.5880000000325,0.12,Agent,0,Kyle Square is rolling Lily Triangle.,Kyle,Square,Lily,Triangle
reference,1,E,14.7140000000327,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,14.7540000000336,0.12,Agent,0,Melissa Oval is stopping Zach Star.,Melissa,Oval,Zach,Star
reference,1,E,14.8800000000338,0.16,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,15.0400000000336,0.12,Agent,1,Lily Triangle is being balanced by Zach Star.,Zach,Star,Lily,Triangle
reference,1,E,15.1660000000338,0.28,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,15.4460000000327,0.12,Patient,0,Kyle Square is rolling Lily Triangle.,Kyle,Square,Lily,Triangle
reference,1,E,15.5720000000329,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,15.6520000000346,0.12,Patient,0,Melissa Oval is stopping Zach Star.,Melissa,Oval,Zach,Star
reference,1,E,15.7780000000348,0.16,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,15.9380000000347,0.12,Agent,1,Lily Triangle is being stopped by Zach Star.,Zach,Star,Lily,Triangle
reference,1,E,16.0640000000349,0.12,Patient,1,Lily Triangle is being balanced by Zach Star.,Zach,Star,Lily,Triangle
reference,1,E,16.1900000000351,0.12,Patient,1,Lily Triangle is being stopped by Zach Star.,Zach,Star,Lily,Triangle
reference,1,E,16.3160000000353,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,16.3560000000361,0.12,Patient,1,Zach Star is being bounced by Melissa Oval.,Melissa,Oval,Zach,Star
reference,1,E,16.4820000000364,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,16.5620000000381,0.12,Agent,1,Zach Star is being bounced by Melissa Oval.,Melissa,Oval,Zach,Star
reference,1,E,16.6880000000383,0.32,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,17.008000000038,0.12,Patient,1,Lily Triangle is being shaken by Zach Star.,Zach,Star,Lily,Triangle
reference,1,E,17.1340000000382,0.52,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,17.6540000000386,0.12,Patient,1,Kyle Square is being balanced by Melissa Oval.,Melissa,Oval,Kyle,Square
reference,1,E,17.7800000000389,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,17.8600000000406,0.12,Agent,1,Lily Triangle is being shaken by Zach Star.,Zach,Star,Lily,Triangle
reference,1,E,17.9860000000408,0.12,Agent,1,Kyle Square is being balanced by Melissa Oval.,Melissa,Oval,Kyle,Square
reference,1,E,18.112000000041,0.28,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,18.3920000000398,0.12,Agent,0,Lily Triangle is stopping Kyle Square.,Lily,Triangle,Kyle,Square
reference,1,E,18.51800000004,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,18.5980000000418,0.12,Agent,0,Lily Triangle is shaking Kyle Square.,Lily,Triangle,Kyle,Square
reference,1,E,18.724000000042,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,18.844000000041,0.12,Agent,0,Lily Triangle is balancing Kyle Square.,Lily,Triangle,Kyle,Square
reference,1,E,18.9700000000412,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,19.0500000000429,0.12,Agent,1,Melissa Oval is being bounced by Zach Star.,Zach,Star,Melissa,Oval
